Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-DEC-2024,2079.65,2087.85,2061.3,2083.85,56767141,665.39
05-DEC-2024,2091.4,2095.65,2061.95,2083.95,46107650,546.33
06-DEC-2024,2087,2088.8,2057.4,2077.05,38977549,534.15
09-DEC-2024,2081.85,2085.2,2032.8,2035.15,37018515,488.82
10-DEC-2024,2035.55,2043.4,2012.55,2021.25,40569170,377.92
11-DEC-2024,2029.25,2034.1,2007.45,2010.85,34523590,267.54
12-DEC-2024,2007.5,2013.3,1959.6,1964.75,33461781,325.76
13-DEC-2024,1962.35,1965.05,1927.95,1953.25,30450612,304.92
16-DEC-2024,1956.35,1998,1956.1,1981.65,36447159,382.25
17-DEC-2024,1988.7,2019.55,1975.45,1982.1,30241432,613.39
18-DEC-2024,1974.2,1978.35,1934.75,1937.8,25399004,490.27
19-DEC-2024,1914.9,1928.3,1906.95,1920.5,31865452,307.03
20-DEC-2024,1922.65,1939.1,1885.4,1887.9,50223046,496.65
23-DEC-2024,1901.5,1912.4,1875.55,1880.45,32994770,433.49
24-DEC-2024,1886.05,1893.9,1868.6,1874.15,23703494,221.24
26-DEC-2024,1877.85,1883.6,1838.05,1846.75,37966851,304.77
27-DEC-2024,1847.05,1861.15,1847.05,1853.75,19974872,161.99
30-DEC-2024,1847.75,1853.85,1815.55,1819.05,29725157,275.31
31-DEC-2024,1816.35,1823.25,1801.3,1817.85,39402910,206.11
01-JAN-2025,1816.1,1847.55,1815.5,1832.65,28714578,280.81
02-JAN-2025,1830.6,1840.8,1826.45,1830.6,20882838,242.07
03-JAN-2025,1835.5,1878.15,1835.5,1861.75,60437594,1308.98
06-JAN-2025,1860,1870.75,1806.65,1811.35,42120592,1037.87
07-JAN-2025,1811.3,1842.55,1785.9,1836.05,39364586,866.36
08-JAN-2025,1840.3,1843.8,1809.65,1822.65,54478493,727.07
09-JAN-2025,1823.8,1849.65,1804.2,1808.65,35310635,826.4
10-JAN-2025,1809.6,1809.75,1739.85,1743.65,49968146,514.91
13-JAN-2025,1726.5,1750.55,1653.5,1664.5,45600440,434.76
14-JAN-2025,1673,1720.9,1672.95,1713.9,36013911,343.22
15-JAN-2025,1723.25,1728.4,1684.05,1690.65,47141126,392.39
16-JAN-2025,1705.85,1728.1,1696.35,1698.7,27568556,404.95
17-JAN-2025,1698.25,1711.2,1688.05,1702.45,25188977,325.16
20-JAN-2025,1714.1,1722.6,1702.6,1719.4,36644724,567.33
21-JAN-2025,1722.95,1735.65,1690,1693.75,26200138,305.88
22-JAN-2025,1695.7,1697.55,1642.55,1663.25,27919632,317.78
23-JAN-2025,1661,1699.9,1657.25,1687.25,35918450,462.48
24-JAN-2025,1691.15,1695.5,1640.4,1643.4,26339818,286.33
27-JAN-2025,1630.05,1632.4,1558.7,1565.65,39239355,402.49
28-JAN-2025,1572.35,1579.6,1523.3,1546.15,53545519,460.94
